Municipio,Año,TempMax °C,TempMed °C
Almeida,2001,37.25,"28,46"
Almeida,2002,34.23,"27,86"
Almeida,2003,35.27,"27,87"
Almeida,2004,35.27,"27,54"
Almeida,2005,35.29,"27,67"
Almeida,2006,34.09,"27,25"
Almeida,2007,39.09,"27,58"
Almeida,2008,36.57,"24,34"
Almeida,2009,33.43,"27,88"
Almeida,2010,35.83,"28,03"
Almeida,2011,35.07,"26,46"
Almeida,2012,32.47,"26,39"
Almeida,2013,33.67,"26,67"
Almeida,2014,34.67,"27,13"
Almeida,2015,36.91,"27,35"
Almeida,2016,35.91,"26,84"
Almeida,2017,32.69,"27,00"
Almeida,2018,32.69,"25,00"
Almeida,2019,35.33,"27,40"
Almeida,2020,36.27,"24,97"
Almeida,2021,34.09,"28,39"
Aquitania,2001,41.93,"26,91"
Aquitania,2002,40.59,"26,90"
Aquitania,2003,38.35,"26,17"
Aquitania,2004,38.35,"27,19"
Aquitania,2005,38.33,"26,25"
Aquitania,2006,38.73,"27,31"
Aquitania,2007,42.29,"26,95"
Aquitania,2008,38.37,"27,53"
Aquitania,2009,36.91,"26,52"
Aquitania,2010,37.03,"27,22"
Aquitania,2011,35.89,"25,22"
Aquitania,2012,35.99,"26,08"
Aquitania,2013,34.31,"26,00"
Aquitania,2014,36.61,"26,28"
Aquitania,2015,36.31,"24,97"
Aquitania,2016,39.31,"27,04"
Aquitania,2017,35.53,"26,80"
Aquitania,2018,36.65,"27,36"
Aquitania,2019,37.29,"27,20"
Aquitania,2020,40.51,"27,79"
Aquitania,2021,34.43,"27,16"
Arcabuco,2001,35.85,"25,65"
Arcabuco,2002,38.47,"25,57"
Arcabuco,2003,36.71,"25,73"
Arcabuco,2004,36.71,"26,10"
Arcabuco,2005,34.93,"24,38"
Arcabuco,2006,33.07,"24,50"
Arcabuco,2007,35.41,"24,60"
Arcabuco,2008,30.41,"26,09"
Arcabuco,2009,33.43,"25,33"
Arcabuco,2010,34.77,"24,77"
Arcabuco,2011,31.67,"23,89"
Arcabuco,2012,33.11,"24,83"
Arcabuco,2013,36.09,"24,88"
Arcabuco,2014,33.57,"24,29"
Arcabuco,2015,37.25,"25,88"
Arcabuco,2016,41.33,"25,44"
Arcabuco,2017,32.27,"24,76"
Arcabuco,2018,33.79,"25,86"
Arcabuco,2019,36.65,"24,53"
Arcabuco,2020,37.85,"27,99"
Arcabuco,2021,33.17,"25,14"
Belén,2001,37.25,"27,37"
Belén,2002,37.89,"26,92"
Belén,2003,37.39,"26,72"
Belén,2004,37.39,"26,91"
Belén,2005,35.13,"25,16"
Belén,2006,34.55,"24,95"
Belén,2007,38.31,"26,26"
Belén,2008,33.75,"23,31"
Belén,2009,34.05,"26,11"
Belén,2010,35.81,"26,21"
Belén,2011,32.23,"22,97"
Belén,2012,32.93,"25,83"
Belén,2013,36.03,"26,63"
Belén,2014,34.77,"25,65"
Belén,2015,36.43,"27,58"
Belén,2016,38.63,"27,11"
Belén,2017,33.39,"24,28"
Belén,2018,33.97,"24,37"
Belén,2019,33.91,"25,15"
Belén,2020,38.29,"24,58"
Belén,2021,32.91,"26,59"
Berbeo,2001,35.77,"27,99"
Berbeo,2002,35.61,"27,75"
Berbeo,2003,33.89,"27,81"
Berbeo,2004,33.89,"27,85"
Berbeo,2005,36.13,"27,24"
Berbeo,2006,33.13,"27,44"
Berbeo,2007,36.11,"27,52"
Berbeo,2008,35.43,"25,04"
Berbeo,2009,33.73,"28,33"
Berbeo,2010,36.03,"29,11"
Berbeo,2011,32.73,"26,79"
Berbeo,2012,34.09,"27,12"
Berbeo,2013,35.35,"26,95"
Berbeo,2014,34.83,"27,55"
Berbeo,2015,36.45,"28,09"
Berbeo,2016,37.57,"27,75"
Berbeo,2017,32.31,"24,85"
Berbeo,2018,32.99,"24,73"
Berbeo,2019,38.05,"28,23"
Berbeo,2020,38.63,"26,30"
Berbeo,2021,33.23,"28,65"
Betéitiva,2001,38.67,"28,49"
Betéitiva,2002,38.29,"29,03"
Betéitiva,2003,38.73,"28,90"
Betéitiva,2004,38.73,"27,87"
Betéitiva,2005,38.53,"27,71"
Betéitiva,2006,37.55,"27,38"
Betéitiva,2007,37.87,"28,12"
Betéitiva,2008,35.75,"27,71"
Betéitiva,2009,35.79,"26,92"
Betéitiva,2010,37.55,"26,94"
Betéitiva,2011,33.75,"24,53"
Betéitiva,2012,34.91,"27,18"
Betéitiva,2013,37.31,"27,34"
Betéitiva,2014,37.99,"28,54"
Betéitiva,2015,39.37,"29,75"
Betéitiva,2016,40.87,"29,01"
Betéitiva,2017,33.95,"27,17"
Betéitiva,2018,35.37,"27,44"
Betéitiva,2019,38.09,"25,79"
Betéitiva,2020,35.29,"28,40"
Betéitiva,2021,35.69,"29,13"
Boavita,2001,44.67,"34,90"
Boavita,2002,45.43,"35,34"
Boavita,2003,44.41,"33,95"
Boavita,2004,44.41,"32,58"
Boavita,2005,45.31,"33,24"
Boavita,2006,43.17,"32,78"
Boavita,2007,42.57,"33,50"
Boavita,2008,44.83,"26,82"
Boavita,2009,42.91,"33,50"
Boavita,2010,44.81,"31,71"
Boavita,2011,43.01,"30,35"
Boavita,2012,42.35,"32,69"
Boavita,2013,44.29,"33,06"
Boavita,2014,43.97,"33,39"
Boavita,2015,44.77,"35,43"
Boavita,2016,44.81,"34,29"
Boavita,2017,42.27,"25,21"
Boavita,2018,42.83,"26,90"
Boavita,2019,41.97,"32,51"
Boavita,2020,43.81,"27,41"
Boavita,2021,41.71,"33,50"
Boyacá,2001,35.19,"26,59"
Boyacá,2002,36.03,"26,46"
Boyacá,2003,35.61,"25,59"
Boyacá,2004,35.61,"25,38"
Boyacá,2005,37.37,"25,31"
Boyacá,2006,34.39,"25,65"
Boyacá,2007,36.11,"25,61"
Boyacá,2008,32.47,"32,47"
Boyacá,2009,32.77,"25,01"
Boyacá,2010,36.07,"26,83"
Boyacá,2011,32.57,"23,45"
Boyacá,2012,30.51,"24,66"
Boyacá,2013,35.47,"24,95"
Boyacá,2014,33.95,"26,19"
Boyacá,2015,36.03,"25,19"
Boyacá,2016,40.27,"25,80"
Boyacá,2017,34.31,"31,68"
Boyacá,2018,34.13,"31,92"
Boyacá,2019,35.15,"24,67"
Boyacá,2020,35.99,"33,33"
Boyacá,2021,31.79,"26,02"
Briceño,2001,30.81,"25,97"
Briceño,2002,30.55,"25,54"
Briceño,2003,29.95,"25,28"
Briceño,2004,29.95,"25,57"
Briceño,2005,30.73,"24,91"
Briceño,2006,30.89,"25,53"
Briceño,2007,29.35,"25,10"
Briceño,2008,27.71,"24,36"
Briceño,2009,31.99,"25,40"
Briceño,2010,29.13,"25,66"
Briceño,2011,28.33,"25,13"
Briceño,2012,31.29,"25,46"
Briceño,2013,30.49,"26,17"
Briceño,2014,32.49,"25,38"
Briceño,2015,34.93,"26,73"
Briceño,2016,31.23,"26,97"
Briceño,2017,28.43,"25,23"
Briceño,2018,32.71,"24,04"
Briceño,2019,32.87,"25,83"
Briceño,2020,30.13,"25,42"
Briceño,2021,28.61,"24,69"
Buenavista,2001,34.49,"26,75"
Buenavista,2002,33.93,"26,79"
Buenavista,2003,32.37,"26,75"
Buenavista,2004,32.37,"26,64"
Buenavista,2005,32.05,"26,34"
Buenavista,2006,31.71,"26,15"
Buenavista,2007,31.29,"26,42"
Buenavista,2008,29.25,"24,23"
Buenavista,2009,33.39,"26,31"
Buenavista,2010,30.43,"26,54"
Buenavista,2011,31.23,"25,92"
Buenavista,2012,34.25,"26,10"
Buenavista,2013,31.49,"26,86"
Buenavista,2014,36.77,"26,59"
Buenavista,2015,37.43,"27,03"
Buenavista,2016,33.65,"26,84"
Buenavista,2017,30.23,"25,59"
Buenavista,2018,34.31,"25,19"
Buenavista,2019,33.31,"26,43"
Buenavista,2020,31.69,"25,55"
Buenavista,2021,30.21,"26,27"
Busbanzá,2001,41.67,"30,49"
Busbanzá,2002,41.73,"30,35"
Busbanzá,2003,38.53,"27,89"
Busbanzá,2004,38.53,"27,55"
Busbanzá,2005,38.03,"28,56"
Busbanzá,2006,37.33,"25,80"
Busbanzá,2007,37.31,"28,85"
Busbanzá,2008,36.01,"25,79"
Busbanzá,2009,36.25,"26,98"
Busbanzá,2010,37.01,"27,03"
Busbanzá,2011,32.41,"24,09"
Busbanzá,2012,32.21,"26,49"
Busbanzá,2013,37.01,"27,34"
Busbanzá,2014,38.03,"27,41"
Busbanzá,2015,41.19,"28,92"
Busbanzá,2016,40.31,"28,68"
Busbanzá,2017,33.83,"26,12"
Busbanzá,2018,36.19,"26,41"
Busbanzá,2019,36.33,"26,77"
Busbanzá,2020,35.29,"26,24"
Busbanzá,2021,35.87,"29,03"
Caldas,2001,35.09,"26,50"
Caldas,2002,40.15,"26,60"
Caldas,2003,35.97,"24,40"
Caldas,2004,35.97,"24,11"
Caldas,2005,37.71,"23,74"
Caldas,2006,35.17,"24,35"
Caldas,2007,34.89,"23,64"
Caldas,2008,28.77,"25,72"
Caldas,2009,31.51,"24,01"
Caldas,2010,34.75,"24,49"
Caldas,2011,29.03,"22,23"
Caldas,2012,32.21,"24,50"
Caldas,2013,35.39,"25,50"
Caldas,2014,34.35,"24,26"
Caldas,2015,37.93,"25,48"
Caldas,2016,41.39,"26,68"
Caldas,2017,31.25,"26,03"
Caldas,2018,31.27,"25,04"
Caldas,2019,32.07,"23,73"
Caldas,2020,35.43,"28,97"
Caldas,2021,30.33,"24,71"
Campohermoso,2001,37.23,"28,49"
Campohermoso,2002,35.67,"27,87"
Campohermoso,2003,35.87,"28,52"
Campohermoso,2004,35.87,"28,31"
Campohermoso,2005,34.83,"27,93"
Campohermoso,2006,34.07,"27,99"
Campohermoso,2007,38.73,"28,38"
Campohermoso,2008,36.09,"21,24"
Campohermoso,2009,33.55,"27,91"
Campohermoso,2010,37.57,"29,07"
Campohermoso,2011,34.13,"27,85"
Campohermoso,2012,33.51,"27,93"
Campohermoso,2013,34.05,"28,03"
Campohermoso,2014,34.53,"28,97"
Campohermoso,2015,34.49,"28,15"
Campohermoso,2016,36.53,"28,24"
Campohermoso,2017,32.03,"22,82"
Campohermoso,2018,33.93,"23,73"
Campohermoso,2019,39.35,"28,83"
Campohermoso,2020,38.79,"25,32"
Campohermoso,2021,33.09,"28,42"
Cerinza,2001,36.31,"26,05"
Cerinza,2002,37.91,"25,82"
Cerinza,2003,37.81,"24,91"
Cerinza,2004,37.81,"25,18"
Cerinza,2005,32.73,"24,53"
Cerinza,2006,35.33,"23,55"
Cerinza,2007,36.01,"25,14"
Cerinza,2008,33.93,"27,90"
Cerinza,2009,33.05,"24,68"
Cerinza,2010,35.73,"26,15"
Cerinza,2011,32.65,"22,13"
Cerinza,2012,31.19,"23,95"
Cerinza,2013,35.19,"25,14"
Cerinza,2014,34.05,"25,42"
Cerinza,2015,35.43,"26,12"
Cerinza,2016,39.97,"25,61"
Cerinza,2017,31.27,"27,55"
Cerinza,2018,34.35,"28,23"
Cerinza,2019,34.93,"23,75"
Cerinza,2020,37.13,"28,40"
Cerinza,2021,32.21,"26,31"
Chinavita,2001,36.47,"27,57"
Chinavita,2002,33.79,"27,05"
